Date,Open,High,Low,Close,Adj Close,Volume
2019-12-06,2887.699951,2949.000000,2871.649902,2890.800049,2801.071045,988519
2019-12-09,2899.000000,2942.000000,2891.899902,2908.750000,2818.463867,529357
2019-12-10,2908.750000,2908.750000,2877.500000,2897.500000,2807.563232,348517
2019-12-11,2900.000000,2915.800049,2875.000000,2887.800049,2798.164307,406528
2019-12-12,2900.000000,2918.800049,2890.000000,2905.649902,2815.459961,403810
2019-12-13,2865.100098,2865.649902,2773.000000,2821.500000,2733.922119,1368418
2019-12-16,2835.000000,2849.949951,2796.399902,2816.350098,2728.932129,460389
2019-12-17,2828.000000,2845.000000,2811.000000,2826.899902,2739.154541,367110
2019-12-18,2840.000000,2876.250000,2827.000000,2873.449951,2784.259277,531232
2019-12-19,2874.000000,2892.350098,2841.050049,2869.550049,2780.480469,398275
2019-12-20,2865.300049,2881.250000,2855.750000,2863.350098,2774.473145,351321
2019-12-23,2867.600098,2918.000000,2867.600098,2908.399902,2818.124512,392235
2019-12-24,2918.899902,2918.899902,2886.050049,2895.949951,2806.061279,217843
2019-12-26,2896.550049,2914.750000,2860.000000,2865.600098,2776.653076,256960
2019-12-27,2875.000000,2905.000000,2861.600098,2897.600098,2807.660156,373653
2019-12-30,2882.300049,2928.000000,2875.000000,2888.850098,2799.181641,379879
2019-12-31,2890.000000,2914.850098,2864.050049,2874.550049,2785.325684,303238
2020-01-01,2880.000000,2888.500000,2860.199951,2879.399902,2790.024902,154779
2020-01-02,2883.800049,2892.399902,2860.199951,2864.899902,2775.974609,298831
2020-01-03,2864.899902,2897.000000,2852.050049,2883.899902,2794.385254,344678
2020-01-06,2871.000000,2897.800049,2854.199951,2878.850098,2789.492432,357737
2020-01-07,2890.000000,2910.000000,2871.050049,2884.199951,2794.675781,357635
2020-01-08,2875.000000,2905.000000,2866.000000,2897.250000,2807.320801,279023
2020-01-09,2911.600098,2936.600098,2901.000000,2920.500000,2829.849121,375496
2020-01-10,2930.000000,3008.000000,2925.149902,2933.000000,2841.961182,1127147
2020-01-13,2932.899902,2966.500000,2915.699951,2954.699951,2862.987793,441864
2020-01-14,2954.800049,2968.800049,2932.000000,2947.800049,2856.301758,357170
2020-01-15,2946.149902,2946.500000,2900.000000,2918.649902,2828.056396,384867
2020-01-16,2928.000000,2951.500000,2921.649902,2937.449951,2846.272949,383462
2020-01-17,2944.399902,3049.000000,2940.000000,3034.350098,2940.165283,1117117
2020-01-20,3043.000000,3080.000000,3032.050049,3059.600098,2964.631348,874713
2020-01-21,3055.550049,3079.800049,3035.850098,3060.449951,2965.455078,570786
